station,deployment,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor,max_tension,wire_out,bottom_depth,cast_depth,volt0,volt1,volt2,volt3,volt4,volt5,sn,ctd_volt_in,ctd_volt_out,afm_volt_in,afm_volt_out,bottle,depth,depth_std,temp1,temp_std,sal1,sal_std
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,10, 10.5,0.250247377608637,15.594755555555556,4.4472213547102853e-4,34.64538357129483,8.155839744807804e-4
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,9, 22.6,0.7564800247050666,15.595122222222223,4.2946995755714667e-4,34.6462095087554,4.3115173105998567e-4
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,8, 25.0,0.572954865393233,15.5946,8.411301920627916e-4,34.64600594702218,5.239251228174648e-4
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,7, 48.4,0.5458105084286229,13.619655555555555,0.026002601365590003,34.618764516065035,0.06256036163666508
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,6, 48.5,0.7003213548079197,13.282344444444444,0.11040177887053143,34.72683500161333,0.03792096976846231
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,5, 98.8,0.7812489999993611,11.352155555555555,0.01846835882740484,34.66460554824136,0.0071503117919706075
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,4, 99.8,0.1916318084243855,11.335722222222222,0.015380570354978453,34.65787100894485,0.00625515257933965
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,3,197.7,0.5509988656975617,10.434044444444444,0.006918473659542516,34.733243219846386,0.005498354418665832
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,2,296.5,1.083935999033158,9.746177777777778,7.446102634563364e-4,34.68710967176786,3.117762349789992e-4
S285-005,CTD,2019-04-03,10:43:00,,-13,2019-04-03T10:43+13, 176.9620,-43.6324,15.92,34.638,42.49,,375,412,352,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.5,,11.45,,1,331.9,0.5237790564732488,9.567311111111112,2.027587510100035e-4,34.663565993733435,4.7873021553381315e-4
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,12,  2.3,0.06214521524444002,15.241611111111112,3.480102169638239e-4,34.48016969436014,4.6525285748574987e-4
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,11,  2.3,0.24189776306898295,15.2409,6.123724356957815e-4,34.48062577862436,5.036624990577122e-4
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,10, 25.1,0.2514110180560908,15.223255555555555,0.005090950577031193,34.48651907601781,0.0023950657324463003
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,9, 25.0,0.31180981561059096,15.195222222222222,0.003582170353911648,34.485541020133084,0.004509966176012523
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,8, 48.3,0.320531503045244,11.616477777777778,0.004956253065012148,34.45680219501011,0.0024316669091452568
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,7, 49.3,0.5491783509126272,11.613666666666667,0.015123987569421064,34.480539693225246,0.011077481159482217
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,6, 95.9,0.4512092394641074,10.069866666666666,0.013830401295696518,34.64228868797597,0.013657476770607043
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,5, 98.7,0.8675587556151133,10.02661111111111,0.008478125447945826,34.63489650946265,0.0016019827533511044
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,4,148.5,0.3849755764258873,9.732922222222223,0.00607140382814758,34.67846694067318,0.006501713470938424
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,3,198.7,0.4696897321045545,9.227822222222223,0.0010497354163997617,34.61581173731642,0.0017109962005861404
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,2,296.9,0.8686568815002627,8.149244444444445,0.002706986844773341,34.466756934509576,0.0019582414039606227
S285-007,CTD,2019-04-04,10:35:00,,-13,2019-04-04T10:35+13, 179.2200,-43.9192,15.58,34.471,16.06,900,499,540,490,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.3,13.1,11.28,11.3,1,396.4,0.6334820000950586,7.710255555555555,0.0011023963796102305,34.430854880047164,2.4301351732135753e-4
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,12,  2.4,0.20113269528127722,17.371177777777778,4.763868642656792e-4,34.958617556662375,2.2791907924021697e-4
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,11,  3.0,0.03601311489505511,17.371955555555555,2.83333333332673e-4,34.959101571490926,3.254829399104512e-4
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,10, 10.4,0.23297520135079725,17.3647,7.794228634062865e-4,34.9612461027457,4.09010117628252e-4
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,9, 25.2,0.34277142529680094,17.361877777777778,4.3237072570280146e-4,34.961937017057416,7.834987854811896e-4
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,8, 48.9,0.562151620512156,17.335233333333335,0.0014645818515873707,34.96295261032978,0.0017216134968863225
